ae_loss,e_real,e_rec,e_sample,g_rec,g_sample,epoch
568.594,58.112,61.029,18.996,84.385,30.20,1
397.433,65.311,68.983,57.187,79.662,93.26,2
341.093,66.997,87.155,118.792,80.334,104.97,3
271.010,89.606,104.762,110.931,99.631,101.62,4
269.357,75.298,98.971,61.444,105.111,62.71,5
243.003,72.270,116.235,83.155,107.208,76.78,6
295.163,71.153,92.358,86.867,102.333,92.88,7
245.941,83.306,125.265,80.883,109.005,76.16,8
240.467,63.641,64.040,65.302,65.934,66.91,9
243.746,66.421,108.876,84.400,123.659,99.27,10
215.198,73.142,123.587,76.000,124.308,75.56,11
217.688,67.167,86.455,67.671,88.302,65.44,12
204.408,67.111,86.377,65.550,90.510,65.50,13
223.083,79.459,114.935,71.118,108.162,70.13,14
217.000,72.177,88.142,77.591,102.412,81.92,15
199.769,80.340,121.346,79.243,97.818,79.55,16
197.669,76.628,97.950,91.648,101.960,92.75,17
221.373,78.586,122.578,62.930,100.053,59.08,18
194.131,77.620,107.708,80.613,112.052,84.09,19
193.977,76.834,132.907,89.593,121.742,88.45,20
212.364,82.493,118.754,70.633,115.513,69.61,21
178.681,94.434,158.583,95.602,160.750,96.60,22
181.519,83.590,158.315,77.518,143.257,72.35,23
188.239,89.836,179.881,98.409,151.876,95.00,24
204.030,75.793,121.902,88.064,116.403,87.95,25
179.891,72.738,114.853,64.731,118.136,64.48,26
178.408,73.767,107.995,76.309,153.883,94.70,27
178.968,73.745,116.134,77.060,110.023,79.79,28
167.762,75.093,127.964,69.403,129.880,69.49,29
169.977,78.452,128.781,75.235,112.185,74.82,30
187.779,82.779,158.630,72.540,161.916,73.92,31
163.822,76.766,138.233,82.201,132.641,80.16,32
184.942,74.336,104.090,73.898,111.198,74.33,33
176.129,82.510,127.279,78.689,99.654,79.16,34
170.465,79.999,96.023,85.144,99.913,85.49,35
193.467,77.649,101.606,83.267,102.783,85.19,36
188.596,69.786,91.523,71.698,100.196,75.74,37
172.020,85.138,166.493,93.318,160.183,90.04,38
170.961,74.017,106.453,75.722,140.721,79.17,39
187.720,75.421,114.659,73.933,111.247,73.63,40
167.108,82.570,118.759,81.558,115.239,81.85,41
176.065,81.925,108.799,84.718,106.886,85.67,42
174.147,78.438,104.451,81.857,108.830,82.24,43
153.706,85.262,93.525,90.539,105.120,91.84,44
169.917,78.050,127.379,91.555,144.347,102.74,45
166.292,82.851,128.402,86.626,125.860,87.19,46
160.419,84.645,116.085,76.771,121.359,77.79,47
157.238,83.596,139.973,88.633,129.702,91.67,48
155.498,82.300,100.258,90.563,103.690,92.85,49
155.370,73.514,108.783,68.351,101.678,67.30,50
149.062,75.378,102.067,76.471,131.837,80.90,51
146.722,80.665,124.300,80.562,121.109,81.13,52
154.927,85.883,140.441,86.739,136.073,86.07,53
160.604,80.191,116.841,78.590,109.681,77.27,54
163.915,77.540,99.861,78.661,111.189,79.51,55
146.158,76.327,101.072,88.067,112.798,89.52,56
158.527,83.233,117.573,81.600,113.304,80.59,57
162.069,75.234,97.871,81.315,97.263,84.34,58
159.243,79.502,116.617,71.864,123.373,73.69,59
151.699,81.959,90.884,87.462,84.399,89.06,60
163.800,78.532,107.385,77.687,113.800,78.10,61
169.441,79.536,87.745,84.696,92.748,87.94,62
157.892,77.555,119.034,86.425,108.669,86.29,63
171.693,87.838,123.280,89.589,110.254,88.01,64
160.608,79.210,99.512,77.875,122.541,81.13,65
157.425,80.389,95.634,90.021,104.036,91.40,66
168.526,88.664,123.024,85.673,118.888,87.06,67
167.431,79.540,96.640,92.426,102.495,95.40,68
165.870,78.904,95.256,69.318,104.303,70.50,69
140.176,92.510,87.700,96.210,86.284,94.14,70
157.523,80.942,100.150,88.291,99.824,90.00,71
144.206,79.076,98.075,76.840,106.188,78.96,72
148.808,80.784,98.318,76.317,109.157,79.56,73
141.375,80.719,119.855,95.835,117.507,93.46,74
167.223,79.717,88.979,76.615,86.237,79.28,75
149.953,85.200,121.414,81.829,114.537,81.30,76
143.573,76.002,121.142,79.245,118.075,79.39,77
149.593,85.828,135.901,91.879,144.266,91.84,78
146.998,82.120,108.087,83.974,125.613,88.03,79
148.899,77.294,102.932,84.848,116.211,86.34,80
147.034,78.229,116.195,95.374,110.024,95.34,81
155.061,78.474,122.790,79.792,115.608,80.11,82
153.425,88.365,153.854,106.864,147.284,102.55,83
160.666,85.553,106.974,93.749,122.729,95.61,84
171.435,72.947,93.871,73.679,99.645,74.52,85
158.040,76.747,123.473,81.568,128.237,82.93,86
155.612,76.731,121.617,77.512,125.864,77.55,87
147.563,90.142,110.275,99.805,110.681,98.47,88
155.825,83.417,104.354,78.824,104.068,78.36,89
140.513,85.181,128.946,86.770,126.738,85.84,90
148.600,85.532,120.165,91.403,111.635,91.58,91
149.271,86.058,119.246,83.968,112.477,85.76,92
137.719,91.313,125.770,98.690,126.463,95.97,93
146.366,83.902,110.215,89.636,102.875,91.16,94
152.167,81.599,111.115,79.659,103.517,78.93,95
137.664,97.665,83.865,105.077,81.091,99.56,96
162.790,85.395,97.038,86.589,104.869,91.53,97
141.078,85.210,117.195,85.331,111.574,86.37,98
167.426,82.956,106.613,83.991,113.950,84.77,99
134.869,87.752,140.588,89.430,134.536,88.34,100
147.636,82.215,120.620,85.392,119.455,86.46,101
139.735,88.490,102.129,88.081,116.393,89.96,102
147.621,88.182,112.749,98.508,112.515,99.31,103
149.477,83.085,109.632,88.217,124.989,88.24,104
147.782,89.753,139.932,86.271,111.132,84.37,105
149.148,82.632,90.658,83.139,94.268,82.56,106
153.165,94.382,126.784,109.355,131.564,107.63,107
147.358,99.640,152.598,89.983,139.271,87.28,108
130.031,93.835,135.275,85.121,124.357,86.58,109
158.625,86.070,97.852,74.894,109.503,75.46,110
155.580,86.715,102.746,90.748,102.969,94.32,111
151.105,84.490,124.182,96.180,116.090,90.56,112
153.101,81.789,128.779,87.449,135.048,92.99,113
148.647,80.464,127.299,87.411,126.919,88.56,114
149.497,89.433,98.262,107.493,102.428,110.48,115
140.368,72.759,98.605,69.022,111.128,71.90,116
138.124,83.867,128.569,85.094,118.066,84.50,117
147.376,88.948,114.652,95.737,114.103,98.63,118
151.658,96.181,158.093,105.766,137.918,105.41,119
146.858,76.073,101.806,86.384,112.049,89.98,120
127.228,92.136,155.266,104.795,139.012,98.83,121
139.804,83.163,104.801,88.035,116.606,85.53,122
145.343,88.135,117.267,89.750,118.714,90.39,123
138.113,97.711,137.221,106.275,117.484,104.52,124
155.888,82.029,96.526,75.269,97.750,76.67,125
133.739,79.175,99.226,80.336,109.288,82.38,126
151.234,78.036,101.263,78.995,101.931,81.02,127
147.059,80.396,84.441,83.015,88.761,83.39,128
129.623,99.846,133.592,109.810,126.511,106.69,129
136.339,83.905,115.308,86.498,102.156,88.22,130
147.611,78.756,103.316,88.730,114.445,87.76,131
139.862,95.000,143.088,113.950,125.660,101.19,132
148.594,91.033,127.965,107.084,127.517,109.93,133
156.273,73.788,88.513,80.545,87.926,82.96,134
148.880,85.682,101.006,99.049,110.707,105.38,135
144.079,86.188,121.497,87.089,112.004,87.27,136
146.728,76.107,125.221,83.348,133.968,87.31,137
148.548,77.606,110.236,83.518,120.711,89.01,138
143.054,83.624,111.019,90.920,100.011,91.19,139
143.246,91.007,109.073,111.351,106.996,103.73,140
138.875,89.517,122.993,119.655,104.227,107.79,141
168.276,84.225,109.021,86.600,130.393,89.35,142
147.096,82.641,108.247,98.788,116.163,104.24,143
151.243,85.274,143.663,106.799,136.096,107.89,144
144.629,82.245,104.846,94.770,112.933,102.72,145
166.312,86.006,130.807,88.399,124.992,87.79,146
145.996,95.017,143.939,108.403,142.938,114.26,147
144.797,83.717,145.622,85.194,153.552,89.01,148
150.413,86.317,109.067,103.100,121.625,107.72,149
144.402,82.943,129.983,98.800,126.892,100.12,150
147.248,84.810,137.249,114.937,132.429,110.95,151
159.164,75.832,110.117,78.515,106.630,76.86,152
154.096,79.978,92.806,80.420,88.467,81.74,153
156.703,83.910,99.615,88.030,102.539,92.41,154
147.231,78.278,104.535,79.841,102.879,80.66,155
157.859,92.388,112.026,108.336,111.201,109.03,156
158.991,87.442,138.893,103.950,106.413,98.44,157
147.409,84.841,107.783,99.975,114.368,103.43,158
157.340,89.242,165.047,96.086,160.723,91.99,159
144.777,95.980,142.016,105.703,146.984,109.44,160
149.101,79.439,121.890,88.041,116.606,90.83,161
161.397,82.469,106.070,82.955,110.213,83.77,162
150.706,87.031,109.171,107.771,115.053,117.83,163
152.519,85.885,97.741,93.729,99.410,99.33,164
149.626,81.470,116.093,106.500,108.290,106.99,165
149.496,75.559,103.796,84.600,117.369,86.36,166
161.247,85.178,96.145,102.456,95.852,108.75,167
148.468,77.773,104.541,94.973,116.379,105.42,168
153.534,78.028,120.117,92.120,117.249,92.48,169
154.561,93.124,134.803,117.238,129.907,114.90,170
148.748,77.208,106.492,94.212,125.254,99.80,171
161.962,81.683,94.245,89.647,100.314,93.29,172
151.677,84.805,114.821,102.595,114.024,101.56,173
148.056,81.558,113.078,90.593,100.935,91.86,174
157.232,76.192,146.239,87.005,158.186,88.60,175
151.543,81.110,133.649,100.482,117.682,102.78,176
154.967,85.481,109.180,119.104,109.495,110.14,177
156.299,85.782,105.614,123.308,113.113,123.56,178
156.645,79.721,112.838,104.353,121.511,117.81,179
157.794,89.293,122.121,110.422,110.574,107.60,180
158.572,90.561,147.137,98.282,127.693,99.95,181
150.749,86.100,148.663,106.727,162.911,111.91,182
147.978,86.538,135.458,103.263,140.597,110.38,183
156.001,90.658,100.770,121.794,102.930,121.59,184
168.173,90.957,120.039,110.201,105.107,104.72,185
146.349,85.935,142.264,119.871,122.209,102.87,186
172.994,82.202,121.832,112.950,108.744,110.05,187
144.911,77.815,123.287,101.620,123.957,103.83,188
147.442,77.966,125.070,108.445,134.437,116.36,189
158.725,73.484,108.229,102.689,137.987,119.08,190
157.734,81.780,110.570,110.826,105.375,106.61,191
164.937,80.332,123.200,105.147,120.610,108.86,192
153.654,82.876,110.773,119.110,109.357,107.22,193
152.494,79.069,94.180,106.300,101.300,115.06,194
152.602,78.191,107.659,98.269,111.720,100.35,195
161.552,81.671,114.313,93.125,102.923,94.51,196
143.995,78.245,107.707,97.882,126.236,100.65,197
160.465,88.121,110.053,141.862,102.377,136.62,198
166.800,81.301,109.598,104.243,121.642,120.17,199
150.269,74.782,151.484,95.700,175.324,102.78,200
167.001,72.800,90.881,97.270,93.277,104.73,201
163.867,80.696,114.578,116.214,100.856,107.76,202
153.129,79.134,108.843,112.419,118.912,113.75,203
167.254,78.808,117.194,101.944,123.718,105.10,204
154.003,77.817,101.371,107.073,124.520,124.23,205
152.347,91.905,201.669,120.182,143.565,110.60,206
160.751,77.446,119.939,112.991,111.053,104.44,207
166.685,81.596,119.687,106.870,110.548,110.58,208
167.793,82.618,130.620,112.038,101.931,104.68,209
162.648,76.814,99.169,103.926,100.892,106.48,210
164.158,88.350,118.887,89.784,89.807,91.53,211
155.846,76.761,109.957,107.151,134.134,118.02,212
156.856,79.527,151.413,108.683,142.977,113.03,213
157.498,77.377,117.411,103.921,122.814,117.78,214
160.557,77.615,114.098,140.496,116.843,142.95,215
153.021,78.553,114.117,115.170,102.715,101.68,216
159.110,79.335,117.036,112.909,108.277,108.71,217
155.928,80.135,146.605,106.994,153.224,107.21,218
146.507,79.311,120.978,111.613,108.208,104.11,219
164.736,76.131,118.636,110.081,101.569,102.71,220
161.349,78.871,151.084,100.136,165.597,109.27,221
173.259,75.059,102.799,103.143,111.193,112.90,222
154.528,84.808,153.340,143.477,141.821,139.56,223
157.972,78.431,120.031,110.240,110.318,101.97,224
153.292,80.811,156.846,117.852,121.560,107.51,225
153.727,77.362,126.578,106.110,137.200,123.90,226
164.582,78.853,126.204,109.709,131.703,124.56,227
156.643,75.319,133.554,97.651,123.819,100.16,228
159.067,79.024,111.954,118.094,108.057,113.31,229
158.232,86.407,136.555,136.448,128.258,122.12,230
154.906,80.351,129.936,124.534,112.341,113.88,231
178.753,78.365,102.995,110.079,111.563,113.21,232
174.540,76.960,116.333,105.587,112.383,115.91,233
173.018,76.104,95.181,119.457,104.915,132.25,234
156.903,75.937,148.178,120.757,142.518,121.19,235
155.830,75.624,102.274,108.449,131.964,120.08,236
147.797,81.079,162.963,128.104,163.984,124.62,237
163.899,84.005,123.152,113.520,118.754,114.27,238
170.000,72.693,115.355,96.058,109.776,101.69,239
161.303,72.010,141.600,108.031,142.224,118.09,240
170.269,83.649,131.799,138.225,135.471,140.58,241
169.303,80.098,159.683,122.635,152.317,118.39,242
151.565,74.315,131.702,101.262,132.342,107.26,243
152.718,75.428,125.686,117.496,118.349,110.52,244
169.198,72.014,119.914,113.406,119.949,112.80,245
169.279,79.481,139.673,125.720,120.503,122.76,246
169.036,84.619,126.347,121.425,120.890,120.77,247
157.222,75.250,158.881,136.125,165.321,138.01,248
158.385,74.480,129.881,113.390,123.854,113.73,249
169.671,71.533,130.882,107.933,141.555,130.25,250
167.339,81.176,129.782,120.335,125.481,111.83,251
158.717,74.236,103.632,105.225,128.242,112.31,252
181.480,80.126,119.700,109.723,132.813,133.46,253
173.327,75.084,131.898,105.701,145.718,114.22,254
164.178,78.402,134.160,145.374,147.310,159.74,255
165.994,76.457,153.069,124.553,140.997,119.13,256
154.906,73.944,145.904,125.596,151.196,130.83,257
156.905,80.203,160.209,150.657,133.615,130.91,258
170.425,80.278,138.577,130.828,150.891,136.69,259
180.521,82.543,150.007,125.070,132.030,121.14,260
162.601,77.279,123.131,97.310,112.300,100.54,261
162.977,71.748,101.405,105.553,130.892,125.00,262
169.865,79.090,121.602,113.894,124.129,115.17,263
174.853,75.199,103.399,107.791,127.403,125.50,264
162.798,73.735,117.875,110.986,113.833,111.77,265
157.996,73.063,102.453,107.462,131.855,124.73,266
177.996,76.482,138.021,129.288,138.223,133.81,267
153.356,74.841,122.030,102.764,128.589,111.86,268
161.188,83.543,195.669,130.909,168.544,123.61,269
148.218,79.185,156.310,119.696,157.346,118.29,270
171.582,81.469,135.709,121.723,121.662,116.81,271
175.410,79.919,157.079,130.258,123.637,121.48,272
164.231,73.803,139.556,109.899,152.295,127.32,273
170.841,80.907,186.931,129.233,162.467,124.09,274
155.244,79.749,128.025,138.212,122.570,127.80,275
179.339,76.035,92.301,85.972,98.253,87.32,276
170.289,76.224,137.963,120.245,140.233,121.47,277
166.123,74.914,111.312,114.307,107.053,111.17,278
172.650,75.655,132.295,127.779,124.264,124.19,279
147.913,79.904,146.230,135.430,135.470,122.44,280
163.029,74.845,147.720,127.207,141.665,118.93,281
160.900,77.893,176.032,134.722,162.277,128.62,282
164.648,79.882,149.063,144.153,147.448,135.08,283
164.831,81.506,128.652,145.173,126.180,142.60,284
184.103,73.347,103.911,102.320,121.303,113.58,285
161.167,70.056,108.890,101.534,167.084,130.52,286
154.528,74.963,155.276,125.979,176.184,136.20,287
164.784,70.793,104.472,113.730,134.839,119.84,288
175.455,70.898,110.131,112.303,100.939,105.69,289
157.682,72.994,111.729,103.949,109.140,112.51,290
166.537,75.172,138.020,108.950,142.671,124.41,291
158.225,73.754,180.885,110.711,206.207,112.39,292
175.231,74.280,134.058,112.496,118.761,109.08,293
158.015,77.223,129.207,117.930,122.635,113.93,294
166.764,74.982,116.832,115.334,117.414,113.25,295
180.867,76.952,146.109,148.794,159.663,161.42,296
171.389,73.856,114.283,116.307,124.899,122.82,297
169.194,72.838,166.654,136.923,198.597,151.26,298
171.864,71.913,102.339,106.634,128.888,140.65,299
171.922,74.043,112.178,117.936,103.013,113.87,300
138.786,69.229,104.988,108.525,162.551,141.74,301
171.217,74.507,134.076,113.538,127.885,109.01,302
165.276,80.694,133.558,140.560,134.128,145.20,303
174.503,78.109,133.735,112.951,127.058,106.14,304
171.762,78.685,185.910,196.015,177.821,186.70,305
147.692,76.057,167.740,120.146,156.106,115.70,306
160.266,75.900,122.342,125.998,117.068,127.46,307
163.459,72.186,117.454,106.488,120.776,119.83,308
174.097,69.916,104.174,107.382,136.978,125.55,309
157.633,82.358,162.131,138.962,158.747,137.25,310
148.587,74.000,132.284,124.044,132.938,124.55,311
168.823,72.088,109.358,115.504,146.337,116.66,312
165.532,75.283,126.369,112.900,123.456,110.32,313
164.491,78.075,141.177,148.099,132.955,135.29,314
159.544,70.827,143.697,128.007,138.821,127.58,315
156.629,72.035,119.690,121.305,114.229,116.58,316
160.006,72.315,164.844,151.530,158.566,145.60,317
172.147,77.784,138.607,114.212,131.908,118.60,318
149.779,71.940,128.133,106.552,126.765,114.66,319
166.987,76.228,174.694,145.579,201.055,165.68,320
167.653,73.913,122.071,109.574,115.938,116.37,321
157.703,75.170,154.763,117.004,153.647,119.15,322
169.099,74.714,132.626,115.998,132.087,120.30,323
161.606,79.625,169.445,143.110,169.514,152.06,324
159.096,69.955,95.696,99.936,120.062,114.67,325
170.722,75.925,138.169,130.686,126.908,120.18,326
151.727,76.457,138.766,139.854,138.669,143.64,327
159.005,75.487,127.315,141.459,120.324,137.57,328
148.391,73.787,121.638,133.772,117.969,129.01,329
154.622,73.691,118.564,122.303,116.110,118.67,330
146.295,71.068,101.042,107.333,142.765,140.00,331
172.832,75.168,154.858,122.292,176.935,129.75,332
169.773,78.429,164.164,123.386,143.623,118.80,333
169.390,78.803,135.983,136.895,141.532,137.61,334
155.381,71.785,128.457,118.086,122.649,118.62,335
162.684,81.219,159.359,126.451,149.644,117.38,336
175.262,77.010,137.286,145.687,120.825,136.92,337
159.697,71.410,115.436,113.272,111.250,109.54,338
160.176,83.664,152.809,156.317,152.267,154.93,339
156.845,78.828,196.515,160.062,182.043,152.62,340
163.077,78.912,174.647,146.750,170.044,140.89,341
174.582,77.653,128.484,131.947,122.997,130.08,342
174.139,74.983,108.662,121.891,137.989,121.49,343
160.328,77.427,159.498,121.521,160.500,121.87,344
156.767,73.644,115.566,103.959,120.241,121.19,345
152.487,69.754,104.943,101.386,147.231,112.79,346
167.986,70.738,112.221,112.376,107.860,106.72,347
153.480,73.581,135.867,141.158,135.310,141.64,348
157.556,72.812,122.338,129.276,122.018,127.50,349
167.942,78.520,158.923,159.597,120.300,141.72,350
156.892,77.914,151.399,130.829,159.792,128.11,351
168.802,76.674,110.836,106.794,113.062,120.98,352
163.874,73.095,130.174,127.418,135.746,132.64,353
153.660,70.105,125.269,103.685,137.740,125.96,354
190.232,76.438,119.130,125.804,107.802,116.03,355
162.567,72.905,119.610,108.036,121.363,121.71,356
155.291,73.993,145.699,119.836,140.307,116.98,357
153.395,70.804,129.208,110.921,120.056,105.78,358
152.650,74.012,148.305,130.263,144.504,123.69,359
157.616,74.273,124.309,111.879,122.715,109.61,360
168.451,73.045,126.896,119.473,117.867,111.73,361
159.711,74.836,166.124,143.139,179.341,153.32,362
148.217,79.143,135.639,131.680,130.235,129.21,363
164.893,75.666,129.104,106.593,133.627,121.20,364
174.751,75.358,155.160,110.632,169.856,111.30,365
143.168,70.866,140.599,126.087,128.549,118.75,366
182.268,77.925,124.669,125.176,113.561,120.43,367
161.253,76.961,135.909,135.105,138.866,130.01,368
168.381,74.881,116.327,120.575,116.800,119.54,369
167.060,70.738,115.157,112.481,111.232,109.27,370
162.592,77.368,135.818,133.108,135.849,136.54,371
164.538,72.914,131.641,116.268,130.300,115.00,372
165.485,72.103,120.889,117.323,117.593,113.65,373
166.209,73.872,121.368,124.595,117.047,121.17,374
154.649,70.617,115.805,99.741,121.149,115.85,375
152.517,75.425,156.773,161.952,144.151,152.15,376
155.985,78.628,156.654,143.148,144.259,135.36,377
157.490,75.904,136.351,136.812,132.814,131.49,378
180.888,74.389,142.063,104.521,133.443,121.76,379
167.526,71.299,118.281,125.849,114.386,121.94,380
169.760,79.174,191.473,137.102,176.918,137.16,381
165.168,78.774,223.800,152.253,171.714,136.43,382
162.154,78.517,207.427,128.715,227.131,137.59,383
157.522,84.081,204.801,222.939,187.842,201.28,384
171.452,70.349,116.827,98.132,121.404,108.21,385
172.670,76.795,119.161,128.296,109.770,119.69,386
158.931,70.554,113.354,103.562,123.361,124.20,387
170.883,76.228,163.949,125.034,170.924,126.74,388
162.444,75.941,131.115,122.636,130.447,119.82,389
185.505,76.909,145.118,134.389,127.525,124.30,390
164.552,81.838,236.196,188.129,215.304,185.22,391
179.804,80.223,130.691,113.956,129.005,109.28,392
174.311,78.260,167.106,113.330,159.286,112.08,393
169.740,77.839,130.854,118.219,129.305,118.34,394
164.046,74.663,131.175,112.571,128.166,109.34,395
154.633,77.080,153.546,118.680,151.824,117.47,396
192.375,73.244,137.313,123.639,121.407,115.89,397
183.245,74.202,132.953,129.815,118.034,122.32,398
167.388,76.964,112.720,114.689,111.693,119.12,399
147.511,70.791,108.198,104.537,166.070,129.38,400
169.680,77.388,118.238,129.718,116.340,129.99,401
161.030,79.270,162.707,149.975,176.133,157.43,402
179.386,72.464,124.382,113.022,115.539,107.26,403
170.651,76.967,104.538,123.990,127.909,126.36,404
162.740,77.528,230.420,173.115,224.740,179.76,405
173.141,74.033,119.440,121.454,113.278,117.74,406
170.022,73.187,139.653,132.255,135.267,129.81,407
147.471,72.497,110.075,118.387,107.627,113.90,408
189.195,82.019,182.328,172.675,154.418,162.75,409
152.644,81.037,160.899,182.046,151.949,174.63,410
159.908,70.073,129.588,110.843,128.755,107.87,411
156.629,70.725,111.479,120.686,108.137,114.45,412
159.017,71.445,129.673,109.381,141.956,135.72,413
173.652,81.952,241.903,184.957,200.976,188.54,414
155.259,73.017,119.535,123.824,114.144,117.08,415
164.895,74.584,121.538,114.238,117.931,116.35,416
163.341,74.421,128.894,122.805,135.964,128.01,417
154.284,75.296,121.283,120.521,122.672,123.52,418
163.883,73.592,139.125,106.826,153.031,131.40,419
150.022,70.573,125.853,120.671,125.234,119.58,420
163.423,75.183,124.512,146.673,125.489,149.57,421
160.468,72.679,137.595,117.843,128.586,109.34,422
156.189,73.363,139.385,100.298,144.424,116.11,423
162.721,73.566,202.855,136.908,184.347,130.08,424
163.502,76.388,168.961,130.135,136.808,123.34,425
163.274,74.950,119.369,118.185,116.412,112.42,426
169.617,71.349,132.307,119.712,131.235,116.35,427
167.790,77.548,128.406,122.526,145.502,126.38,428
159.806,70.294,117.637,100.748,123.586,127.66,429
161.533,73.925,115.636,123.232,112.872,118.29,430
166.157,76.975,128.927,141.127,131.694,146.13,431
153.812,74.904,144.850,162.357,143.932,166.64,432
171.891,78.717,184.512,154.395,202.639,179.32,433
155.139,71.915,119.933,128.468,123.229,134.08,434
162.393,72.459,126.594,117.857,126.330,123.77,435
184.348,86.071,238.437,216.921,212.083,203.99,436
164.551,73.852,148.536,119.174,143.662,115.82,437
159.752,75.580,137.132,149.098,151.725,170.79,438
163.269,73.481,125.483,116.061,112.140,111.94,439
162.576,71.175,114.667,104.511,118.842,124.62,440
155.054,70.149,104.998,100.632,196.492,147.27,441
175.277,72.880,125.349,122.313,120.383,118.55,442
175.504,81.057,196.152,169.439,158.361,149.10,443
168.292,71.751,141.434,133.964,165.840,137.82,444
175.960,76.797,137.458,135.015,131.336,129.66,445
162.326,74.868,133.592,113.721,130.143,111.11,446
162.598,74.567,112.752,134.908,106.797,128.57,447
160.517,74.534,138.688,111.607,139.839,114.19,448
159.932,68.898,120.401,121.089,116.203,117.62,449
159.574,75.990,154.257,149.306,164.640,151.03,450
161.243,73.813,100.203,124.808,136.587,136.25,451
174.990,69.012,119.094,124.320,107.804,117.67,452
174.156,74.339,155.272,129.936,132.299,119.83,453
157.265,79.871,117.342,126.059,118.529,128.73,454
169.115,72.450,138.746,118.995,137.960,115.53,455
162.111,71.262,126.906,109.515,143.558,136.92,456
170.527,71.681,126.370,112.245,127.140,108.36,457
161.477,78.522,145.893,151.119,147.076,152.54,458
167.632,75.950,115.916,126.918,102.401,119.02,459
158.965,75.422,156.544,118.277,156.481,116.67,460
172.452,74.951,161.477,107.453,176.334,127.02,461
163.605,73.435,133.391,112.655,133.869,119.33,462
158.484,74.329,126.531,109.552,138.477,142.44,463
156.183,72.014,109.766,117.825,182.358,122.71,464
175.987,77.970,147.047,156.433,139.424,145.19,465
188.718,75.523,151.416,143.708,128.913,140.34,466
154.191,73.708,121.490,119.228,113.736,115.12,467
167.870,72.022,114.722,106.285,123.781,132.40,468
166.645,84.174,250.317,235.067,204.579,213.59,469
172.424,72.003,143.734,108.733,166.120,135.89,470
159.733,69.946,126.574,138.333,120.330,133.05,471
167.125,80.545,167.725,168.823,162.995,172.26,472
159.332,72.792,128.020,114.430,126.336,108.47,473
167.203,78.242,144.347,138.394,139.836,139.91,474
160.222,73.218,117.272,98.366,113.749,102.58,475
162.267,73.777,131.758,139.947,131.410,143.42,476
161.135,73.607,117.604,114.713,109.493,111.05,477
164.802,71.555,111.316,116.426,108.092,114.21,478
183.686,73.932,109.056,121.151,168.303,127.71,479
158.659,72.254,115.430,131.521,111.661,125.71,480
161.236,70.780,111.051,107.986,116.187,133.54,481
171.208,76.114,104.531,123.377,132.694,127.69,482
162.927,77.822,164.288,152.429,154.232,148.99,483
164.353,73.076,125.671,121.948,120.679,118.49,484
165.463,80.850,151.420,150.113,135.537,131.26,485
177.049,76.039,123.073,127.126,119.773,122.74,486
167.925,77.945,147.128,130.989,145.742,135.46,487
179.956,77.810,150.826,125.249,153.921,123.19,488
164.391,72.146,113.387,115.453,110.599,113.08,489
171.971,74.608,113.151,129.898,112.714,130.84,490
168.926,79.447,215.836,155.485,243.962,181.22,491
167.324,75.022,128.890,133.328,129.300,128.27,492
152.100,81.343,154.067,148.984,160.228,160.00,493
162.592,71.005,113.553,113.305,106.646,107.16,494
177.250,82.620,219.378,176.693,182.039,166.15,495
190.586,74.935,164.074,201.300,154.091,197.54,496
165.428,76.297,138.676,128.280,141.027,132.57,497
154.056,71.901,126.149,140.601,120.532,136.48,498
165.069,72.824,119.547,123.505,118.484,118.06,499
192.905,80.574,171.790,145.810,151.005,138.94,500
